"sum","mean","sd","ll","ul","Version"
248165,376.007575757576,607.590738288198,-231.583162530622,983.598314045774,"0.4"
65408,99.1030303030303,192.462537962265,-93.3595076592342,291.565568265295,"0.5"
68718,104.118181818182,174.827062965365,-70.7088811471833,278.945244783547,"0.6"
