sum,mean,sd,ll,ul,Version,min,max
59250.0,395.0,734.6779611956974,-339.67796119569743,1129.6779611956974,T0_23_0,0,6346.0
59375.0,380.60897435897436,723.9988009421111,-343.3898265831367,1104.6077753010854,T0.24.0,0,6346.0
59375.0,380.60897435897436,723.9988009421111,-343.3898265831367,1104.6077753010854,T0.25.0,0,6346.0
59569.0,381.8525641025641,723.4651375054177,-341.6125734028536,1105.3177016079817,T0.26.0,0,6346.0
59390.0,383.16129032258067,725.6210464269142,-342.4597561043335,1108.7823367494948,T0.27.0,0,6346.0
59390.0,383.16129032258067,725.6210464269142,-342.4597561043335,1108.7823367494948,T0.28.0,0,6346.0
59390.0,383.16129032258067,725.6210464269142,-342.4597561043335,1108.7823367494948,T0.29.0,0,6346.0
59421.0,385.85064935064935,727.2758795444208,-341.4252301937715,1113.1265288950701,T0.30.0,0,6346.0
59416.0,378.4458598726115,722.1889443024369,-343.7430844298254,1100.6348041750484,T0.31.0,0,6346.0
59416.0,378.4458598726115,722.1889443024369,-343.7430844298254,1100.6348041750484,T0.32.0,0,6346.0
59416.0,378.4458598726115,722.1889443024369,-343.7430844298254,1100.6348041750484,T0.33.0,0,6346.0
59416.0,378.4458598726115,722.1889443024369,-343.7430844298254,1100.6348041750484,T0.34.0,0,6346.0
59416.0,378.4458598726115,722.1889443024369,-343.7430844298254,1100.6348041750484,T0.35.0,0,6346.0
59676.0,380.1019108280255,722.9713033985166,-342.86939257049113,1103.0732142265422,T0.36.0,0,6346.0
58360.0,371.71974522292993,720.2797920128681,-348.5600467899382,1091.999537235798,T0.37.0,0,6346.0
60096.0,380.3544303797468,723.0580896175524,-342.70365923780554,1103.4125199972991,T0.41.0,0,6346.0
60096.0,380.3544303797468,723.0580896175524,-342.70365923780554,1103.4125199972991,T0.42.0,0,6346.0
60095.0,380.3481012658228,723.0582371210128,-342.71013585519,1103.4063383868356,T0.43.0,0,6346.0
60095.0,380.3481012658228,723.0582371210128,-342.71013585519,1103.4063383868356,T0.44.0,0,6346.0
60095.0,380.3481012658228,723.0582371210128,-342.71013585519,1103.4063383868356,T0.45.0,0,6346.0
60085.0,380.2848101265823,723.0416334439659,-342.75682331738363,1103.3264435705482,T0.46.0,0,6346.0
60085.0,380.2848101265823,723.0416334439659,-342.75682331738363,1103.3264435705482,T0.47.0,0,6346.0
