sum,mean,sd,ll,ul,Version,min,max
79836.0,492.81481481481484,981.1305787814522,-488.31576396663735,1473.945393596267,G0.35.0,0,8702.0
79913.0,493.2901234567901,981.2218805098787,-487.9317570530886,1474.5120039666688,G036.0,0,8702.0
79839.0,492.8333333333333,981.1189583805967,-488.2856250472634,1473.95229171393,G0.37.0,0,8702.0
79901.0,493.21604938271605,981.164650100387,-487.94860071767096,1474.380699483103,G0.38.0,0,8702.0
80466.0,496.7037037037037,979.6374920919516,-482.9337883882479,1476.3411957956553,G0.39.0,0,8702.0
80480.0,496.7901234567901,979.5917292177576,-482.80160576096745,1476.3818526745476,G0.40.0,0,8702.0
80639.0,497.7716049382716,980.2517078784707,-482.4801029401991,1478.0233128167424,G0.41.0,0,8702.0
80639.0,497.7716049382716,980.2490315654886,-482.477426627217,1478.0206365037602,G0.42.0,0,8702.0
80578.0,497.39506172839504,980.4450762944012,-483.0500145660062,1477.8401380227963,G0.43.0,0,8702.0
80315.0,495.7716049382716,978.6512971513105,-482.8796922130389,1474.422902089582,G0.44.0,0,8701.0
80339.0,495.91975308641975,978.7715277004005,-482.85177461398075,1474.6912807868202,G0.45.0,0,8701.0
80326.0,495.8395061728395,978.7179691466896,-482.8784629738501,1474.5574753195292,G0.46.0,0,8701.0
80344.0,495.95061728395063,978.7599221543904,-482.8093048704398,1474.7105394383411,G0.47.0,0,8701.0
80355.0,496.01851851851853,979.0266486002361,-483.0081300817175,1475.0451671187545,G0.48.0,0,8701.0
79209.0,488.94444444444446,968.8552252689068,-479.91078082446234,1457.7996697133512,G0.49.0,0,8701.0
79195.0,488.858024691358,968.804487068469,-479.946462377111,1457.662511759827,G0.50.0,0,8701.0
79184.0,488.7901234567901,968.7444045690976,-479.95428111230746,1457.5345280258878,G0.51.0,0,8701.0
79191.0,488.8333333333333,968.7458880836668,-479.9125547503335,1457.579221417,G0.52.0,0,8701.0
79198.0,488.87654320987656,968.8118774531118,-479.9353342432353,1457.6884206629884,G0.53.0,0,8701.0
79542.0,491.0,969.846761473554,-478.846761473554,1460.8467614735541,G0.54.0,0,8701.0
79673.0,491.80864197530866,970.0584336093751,-478.24979163406647,1461.8670755846838,G0.55.0,0,8701.0
79972.0,493.65432098765433,972.010480567561,-478.35615957990666,1465.6648015552153,G0.56.0,0,8701.0
79960.0,493.58024691358025,972.0975204368364,-478.5172735232561,1465.6777673504166,G0.57.0,0,8701.0
79962.0,493.5925925925926,971.8490747758425,-478.2564821832499,1465.441667368435,G0.58.0,0,8701.0
79967.0,493.62345679012344,971.9560080950173,-478.33255130489385,1465.5794648851406,G0.59.0,0,8701.0
79557.0,491.0925925925926,968.9525323487885,-477.8599397561959,1460.0451249413811,G0.60.0,0,8667.0
79568.0,491.1604938271605,969.0277672739334,-477.86727344677286,1460.1882611010938,G0.61.0,0,8667.0
79486.0,490.65432098765433,968.6523432003361,-477.99802221268175,1459.3066641879905,G0.62.0,0,8666.0
79501.0,490.74691358024694,968.6114428940476,-477.8645293138007,1459.3583564742946,G0.63.0,0,8666.0
79046.0,487.9382716049383,967.3376259659076,-479.3993543609693,1455.275897570846,G0.64.0,0,8666.0
78968.0,487.4567901234568,967.8508525719573,-480.39406244850045,1455.307642695414,G0.65.0,0,8675.0
78544.0,484.8395061728395,965.2308871973358,-480.39138102449635,1450.0703933701752,G0.66.0,0,8657.0
78529.0,484.74691358024694,965.1676967557732,-480.4207831755263,1449.9146103360201,G0.67.0,0,8657.0
78570.0,485.0,965.2680303264841,-480.2680303264841,1450.2680303264842,G0.68.0,0,8657.0
78573.0,485.01851851851853,965.3463171332572,-480.3277986147387,1450.3648356517758,G0.69.0,0,8657.0
80486.0,496.82716049382714,964.2478587424854,-467.42069824865825,1461.0750192363125,G0.70.0,0,8657.0
72078.0,444.9259259259259,950.6839029887486,-505.7579770628227,1395.6098289146746,G0.71.0,0,8638.0
73992.0,456.74074074074076,949.5722009849497,-492.831460244209,1406.3129417256905,G0.72.0,0,8638.0
74019.0,456.9074074074074,949.570843972638,-492.66343656523065,1406.4782513800455,G0.73.0,0,8638.0
